"","PassengerId","Survived","Pclass","Sex","Age","Fare"
"1",1,0,3,"male",22,7.25
"2",2,1,1,"female",38,71.2833
"4",4,1,1,"female",35,53.1
"5",5,0,3,"male",35,8.05
"7",7,0,1,"male",54,51.8625
"9",9,1,3,"female",27,11.1333
"11",11,1,3,"female",4,16.7
"12",12,1,1,"female",58,26.55
"15",15,0,3,"female",14,7.8542
"16",16,1,2,"female",55,16
"17",17,0,3,"male",2,29.125
"19",19,0,3,"female",31,18
"22",22,1,2,"male",34,13
"24",24,1,1,"male",28,35.5
"25",25,0,3,"female",8,21.075
"26",26,1,3,"female",38,31.3875
"28",28,0,1,"male",19,263
"34",34,0,2,"male",66,10.5
"35",35,0,1,"male",28,82.1708
"36",36,0,1,"male",42,52
"39",39,0,3,"female",18,18
"41",41,0,3,"female",40,9.475
"42",42,0,2,"female",27,21
"50",50,0,3,"female",18,17.8
"52",52,0,3,"male",21,7.8
"54",54,1,2,"female",29,26
"55",55,0,1,"male",65,61.9792
"58",58,0,3,"male",28.5,7.2292
"59",59,1,2,"female",5,27.75
"60",60,0,3,"male",11,46.9
"61",61,0,3,"male",22,7.2292
"62",62,1,1,"female",38,80
"63",63,0,1,"male",45,83.475
"64",64,0,3,"male",4,27.9
"67",67,1,2,"female",29,10.5
"68",68,0,3,"male",19,8.1583
"69",69,1,3,"female",17,7.925
"70",70,0,3,"male",26,8.6625
"73",73,0,2,"male",21,73.5
"79",79,1,2,"male",0.83,29
"81",81,0,3,"male",22,9
"82",82,1,3,"male",29,9.5
"84",84,0,1,"male",28,47.1
"85",85,1,2,"female",17,10.5
"87",87,0,3,"male",16,34.375
"91",91,0,3,"male",29,8.05
"92",92,0,3,"male",20,7.8542
"95",95,0,3,"male",59,7.25
"97",97,0,1,"male",71,34.6542
"98",98,1,1,"male",23,63.3583
"100",100,0,2,"male",34,26
"101",101,0,3,"female",28,7.8958
"104",104,0,3,"male",33,8.6542
"105",105,0,3,"male",37,7.925
"106",106,0,3,"male",28,7.8958
"107",107,1,3,"female",21,7.65
"109",109,0,3,"male",38,7.8958
"113",113,0,3,"male",22,8.05
"114",114,0,3,"female",20,9.825
"116",116,0,3,"male",21,7.925
"117",117,0,3,"male",70.5,7.75
"118",118,0,2,"male",29,21
"119",119,0,1,"male",24,247.5208
"123",123,0,2,"male",32.5,30.0708
"125",125,0,1,"male",54,77.2875
"126",126,1,3,"male",12,11.2417
"128",128,1,3,"male",24,7.1417
"130",130,0,3,"male",45,6.975
"131",131,0,3,"male",33,7.8958
"132",132,0,3,"male",20,7.05
"133",133,0,3,"female",47,14.5
"134",134,1,2,"female",29,26
"135",135,0,2,"male",25,13
"137",137,1,1,"female",19,26.2833
"138",138,0,1,"male",37,53.1
"139",139,0,3,"male",16,9.2167
"142",142,1,3,"female",22,7.75
"144",144,0,3,"male",19,6.75
"146",146,0,2,"male",19,36.75
"147",147,1,3,"male",27,7.7958
"148",148,0,3,"female",9,34.375
"149",149,0,2,"male",36.5,26
"150",150,0,2,"male",42,13
"151",151,0,2,"male",51,12.525
"152",152,1,1,"female",22,66.6
"153",153,0,3,"male",55.5,8.05
"154",154,0,3,"male",40.5,14.5
"156",156,0,1,"male",51,61.3792
"157",157,1,3,"female",16,7.7333
"158",158,0,3,"male",30,8.05
"163",163,0,3,"male",26,7.775
"165",165,0,3,"male",1,39.6875
"166",166,1,3,"male",9,20.525
"168",168,0,3,"female",45,27.9
"170",170,0,3,"male",28,56.4958
"172",172,0,3,"male",4,29.125
"175",175,0,1,"male",56,30.6958
"178",178,0,1,"female",50,28.7125
"180",180,0,3,"male",36,0
"183",183,0,3,"male",9,31.3875
"185",185,1,3,"female",4,22.025
"189",189,0,3,"male",40,15.5
"192",192,0,2,"male",19,13
"193",193,1,3,"female",19,7.8542
"194",194,1,2,"male",3,26
"195",195,1,1,"female",44,27.7208
"196",196,1,1,"female",58,146.5208
"198",198,0,3,"male",42,8.4042
"200",200,0,2,"female",24,13
"203",203,0,3,"male",34,6.4958
"206",206,0,3,"female",2,10.4625
"207",207,0,3,"male",32,15.85
"208",208,1,3,"male",26,18.7875
"209",209,1,3,"female",16,7.75
"210",210,1,1,"male",40,31
"211",211,0,3,"male",24,7.05
"213",213,0,3,"male",22,7.25
"216",216,1,1,"female",31,113.275
"217",217,1,3,"female",27,7.925
"218",218,0,2,"male",42,27
"219",219,1,1,"female",32,76.2917
"220",220,0,2,"male",30,10.5
"221",221,1,3,"male",16,8.05
"222",222,0,2,"male",27,13
"223",223,0,3,"male",51,8.05
"225",225,1,1,"male",38,90
"226",226,0,3,"male",22,9.35
"227",227,1,2,"male",19,10.5
"232",232,0,3,"male",29,7.775
"233",233,0,2,"male",59,13.5
"234",234,1,3,"female",5,31.3875
"235",235,0,2,"male",24,10.5
"238",238,1,2,"female",8,26.25
"239",239,0,2,"male",19,10.5
"240",240,0,2,"male",33,12.275
"243",243,0,2,"male",29,10.5
"244",244,0,3,"male",22,7.125
"245",245,0,3,"male",30,7.225
"246",246,0,1,"male",44,90
"248",248,1,2,"female",24,14.5
"252",252,0,3,"female",29,10.4625
"253",253,0,1,"male",62,26.55
"254",254,0,3,"male",30,16.1
"256",256,1,3,"female",29,15.2458
"258",258,1,1,"female",30,86.5
"259",259,1,1,"female",35,512.3292
"262",262,1,3,"male",3,31.3875
"263",263,0,1,"male",52,79.65
"264",264,0,1,"male",40,0
"266",266,0,2,"male",36,10.5
"268",268,1,3,"male",25,7.775
"269",269,1,1,"female",58,153.4625
"270",270,1,1,"female",35,135.6333
"272",272,1,3,"male",25,0
"273",273,1,2,"female",41,19.5
"274",274,0,1,"male",37,29.7
"279",279,0,3,"male",7,29.125
"281",281,0,3,"male",65,7.75
"282",282,0,3,"male",28,7.8542
"284",284,1,3,"male",19,8.05
"286",286,0,3,"male",33,8.6625
"287",287,1,3,"male",30,9.5
"288",288,0,3,"male",22,7.8958
"289",289,1,2,"male",42,13
"291",291,1,1,"female",26,78.85
"293",293,0,2,"male",36,12.875
"294",294,0,3,"female",24,8.85
"298",298,0,1,"female",2,151.55
"300",300,1,1,"female",50,247.5208
"303",303,0,3,"male",19,0
"308",308,1,1,"female",17,108.9
"309",309,0,2,"male",30,24
"310",310,1,1,"female",30,56.9292
"312",312,1,1,"female",18,262.375
"315",315,0,2,"male",43,26.25
"316",316,1,3,"female",26,7.8542
"317",317,1,2,"female",24,26
"318",318,0,2,"male",54,14
"320",320,1,1,"female",40,134.5
"321",321,0,3,"male",22,7.25
"322",322,0,3,"male",27,7.8958
"324",324,1,2,"female",22,29
"326",326,1,1,"female",36,135.6333
"328",328,1,2,"female",36,13
"329",329,1,3,"female",31,20.525
"330",330,1,1,"female",16,57.9792
"333",333,0,1,"male",38,153.4625
"337",337,0,1,"male",29,66.6
"338",338,1,1,"female",41,134.5
"340",340,0,1,"male",45,35.5
"341",341,1,2,"male",2,26
"342",342,1,1,"female",24,263
"344",344,0,2,"male",25,13
"345",345,0,2,"male",36,13
"346",346,1,2,"female",24,13
"347",347,1,2,"female",40,13
"351",351,0,3,"male",23,9.225
"353",353,0,3,"male",15,7.2292
"354",354,0,3,"male",25,17.8
"356",356,0,3,"male",28,9.5
"357",357,1,1,"female",22,55
"358",358,0,2,"female",38,13
"362",362,0,2,"male",29,27.7208
"363",363,0,3,"female",45,14.4542
"364",364,0,3,"male",35,7.05
"366",366,0,3,"male",30,7.25
"372",372,0,3,"male",18,6.4958
"373",373,0,3,"male",19,8.05
"374",374,0,1,"male",22,135.6333
"375",375,0,3,"female",3,21.075
"377",377,1,3,"female",22,7.25
"378",378,0,1,"male",27,211.5
"381",381,1,1,"female",42,227.525
"382",382,1,3,"female",1,15.7417
"383",383,0,3,"male",32,7.925
"386",386,0,2,"male",18,73.5
"387",387,0,3,"male",1,46.9
"391",391,1,1,"male",36,120
"392",392,1,3,"male",21,7.7958
"393",393,0,3,"male",28,7.925
"394",394,1,1,"female",23,113.275
"396",396,0,3,"male",22,7.7958
"397",397,0,3,"female",31,7.8542
"398",398,0,2,"male",46,26
"399",399,0,2,"male",23,10.5
"400",400,1,2,"female",28,12.65
"401",401,1,3,"male",39,7.925
"402",402,0,3,"male",26,8.05
"403",403,0,3,"female",21,9.825
"404",404,0,3,"male",28,15.85
"407",407,0,3,"male",51,7.75
"408",408,1,2,"male",3,18.75
"409",409,0,3,"male",21,7.775
"415",415,1,3,"male",44,7.925
"418",418,1,2,"female",18,13
"419",419,0,2,"male",30,13
"420",420,0,3,"female",10,24.15
"422",422,0,3,"male",21,7.7333
"423",423,0,3,"male",29,7.875
"424",424,0,3,"female",28,14.4
"425",425,0,3,"male",18,20.2125
"427",427,1,2,"female",28,26
"428",428,1,2,"female",19,26
"430",430,1,3,"male",32,8.05
"433",433,1,2,"female",42,26
"435",435,0,1,"male",50,55.9
"436",436,1,1,"female",14,120
"437",437,0,3,"female",21,34.375
"440",440,0,2,"male",31,10.5
"441",441,1,2,"female",45,26.25
"442",442,0,3,"male",20,9.5
"443",443,0,3,"male",25,7.775
"444",444,1,2,"female",28,13
"446",446,1,1,"male",4,81.8583
"448",448,1,1,"male",34,26.55
"449",449,1,3,"female",5,19.2583
"451",451,0,2,"male",36,27.75
"454",454,1,1,"male",49,89.1042
"456",456,1,3,"male",29,7.8958
"457",457,0,1,"male",65,26.55
"459",459,1,2,"female",50,10.5
"462",462,0,3,"male",34,8.05
"463",463,0,1,"male",47,38.5
"466",466,0,3,"male",38,7.05
"468",468,0,1,"male",56,26.55
"470",470,1,3,"female",0.75,19.2583
"473",473,1,2,"female",33,27.75
"475",475,0,3,"female",22,9.8375
"477",477,0,2,"male",34,21
"478",478,0,3,"male",29,7.0458
"479",479,0,3,"male",22,7.5208
"480",480,1,3,"female",2,12.2875
"483",483,0,3,"male",50,8.05
"485",485,1,1,"male",25,91.0792
"487",487,1,1,"female",35,90
"489",489,0,3,"male",30,8.05
"492",492,0,3,"male",21,7.25
"495",495,0,3,"male",21,8.05
"500",500,0,3,"male",24,7.7958
"501",501,0,3,"male",17,8.6625
"502",502,0,3,"female",21,7.75
"504",504,0,3,"female",37,9.5875
"506",506,0,1,"male",18,108.9
"507",507,1,2,"female",33,26
"510",510,1,3,"male",26,56.4958
"511",511,1,3,"male",29,7.75
"513",513,1,1,"male",36,26.2875
"514",514,1,1,"female",54,59.4
"515",515,0,3,"male",24,7.4958
"516",516,0,1,"male",47,34.0208
"517",517,1,2,"female",34,10.5
"519",519,1,2,"female",36,26
"520",520,0,3,"male",32,7.8958
"524",524,1,1,"female",44,57.9792
"527",527,1,2,"female",50,10.5
"529",529,0,3,"male",39,7.925
"530",530,0,2,"male",23,11.5
"531",531,1,2,"female",2,26
"533",533,0,3,"male",17,7.2292
"535",535,0,3,"female",30,8.6625
"538",538,1,1,"female",30,106.425
"540",540,1,1,"female",22,49.5
"541",541,1,1,"female",36,71
"545",545,0,1,"male",50,106.425
"546",546,0,1,"male",64,26
"547",547,1,2,"female",19,26
"549",549,0,3,"male",33,20.525
"550",550,1,2,"male",8,36.75
"552",552,0,2,"male",27,26
"554",554,1,3,"male",22,7.225
"556",556,0,1,"male",62,26.55
"559",559,1,1,"female",39,79.65
"562",562,0,3,"male",40,7.8958
"563",563,0,2,"male",28,13.5
"566",566,0,3,"male",24,24.15
"568",568,0,3,"female",29,21.075
"572",572,1,1,"female",53,51.4792
"573",573,1,1,"male",36,26.3875
"575",575,0,3,"male",16,8.05
"578",578,1,1,"female",39,55.9
"581",581,1,2,"female",25,30
"583",583,0,2,"male",54,26
"584",584,0,1,"male",36,40.125
"586",586,1,1,"female",18,79.65
"587",587,0,2,"male",47,15
"588",588,1,1,"male",60,79.2
"589",589,0,3,"male",22,8.05
"592",592,1,1,"female",52,78.2667
"593",593,0,3,"male",47,7.25
"595",595,0,2,"male",37,26
"600",600,1,1,"male",49,56.9292
"601",601,1,2,"female",24,27
"604",604,0,3,"male",44,8.05
"606",606,0,3,"male",36,15.55
"607",607,0,3,"male",30,7.8958
"610",610,1,1,"female",40,153.4625
"611",611,0,3,"female",39,31.275
"615",615,0,3,"male",35,8.05
"616",616,1,2,"female",24,65
"618",618,0,3,"female",26,16.1
"619",619,1,2,"female",4,39
"620",620,0,2,"male",26,10.5
"621",621,0,3,"male",27,14.4542
"623",623,1,3,"male",20,15.7417
"624",624,0,3,"male",21,7.8542
"625",625,0,3,"male",21,16.1
"626",626,0,1,"male",61,32.3208
"627",627,0,2,"male",57,12.35
"628",628,1,1,"female",21,77.9583
"629",629,0,3,"male",26,7.8958
"633",633,1,1,"male",32,30.5
"636",636,1,2,"female",28,13
"637",637,0,3,"male",32,7.925
"638",638,0,2,"male",31,26.25
"639",639,0,3,"female",41,39.6875
"641",641,0,3,"male",20,7.8542
"643",643,0,3,"female",2,27.9
"647",647,0,3,"male",19,7.8958
"648",648,1,1,"male",56,35.5
"652",652,1,2,"female",18,23
"653",653,0,3,"male",21,8.4333
"656",656,0,2,"male",24,73.5
"659",659,0,2,"male",23,13
"660",660,0,1,"male",58,113.275
"662",662,0,3,"male",40,7.225
"664",664,0,3,"male",36,7.4958
"665",665,1,3,"male",20,7.925
"666",666,0,2,"male",32,73.5
"667",667,0,2,"male",25,13
"669",669,0,3,"male",43,8.05
"671",671,1,2,"female",40,39
"672",672,0,1,"male",31,52
"673",673,0,2,"male",70,10.5
"674",674,1,2,"male",31,13
"676",676,0,3,"male",18,7.775
"677",677,0,3,"male",24.5,8.05
"678",678,1,3,"female",18,9.8417
"679",679,0,3,"female",43,46.9
"680",680,1,1,"male",36,512.3292
"683",683,0,3,"male",20,9.225
"686",686,0,2,"male",25,41.5792
"688",688,0,3,"male",19,10.1708
"690",690,1,1,"female",15,211.3375
"691",691,1,1,"male",31,57
"692",692,1,3,"female",4,13.4167
"694",694,0,3,"male",25,7.225
"695",695,0,1,"male",60,26.55
"696",696,0,2,"male",52,13.5
"697",697,0,3,"male",44,8.05
"700",700,0,3,"male",42,7.65
"702",702,1,1,"male",35,26.2875
"703",703,0,3,"female",18,14.4542
"705",705,0,3,"male",26,7.8542
"707",707,1,2,"female",45,13.5
"708",708,1,1,"male",42,26.2875
"709",709,1,1,"female",22,151.55
"711",711,1,1,"female",24,49.5042
"713",713,1,1,"male",48,52
"714",714,0,3,"male",29,9.4833
"715",715,0,2,"male",52,13
"716",716,0,3,"male",19,7.65
"718",718,1,2,"female",27,10.5
"720",720,0,3,"male",33,7.775
"721",721,1,2,"female",6,33
"723",723,0,2,"male",34,13
"724",724,0,2,"male",50,13
"725",725,1,1,"male",27,53.1
"726",726,0,3,"male",20,8.6625
"727",727,1,2,"female",30,21
"729",729,0,2,"male",25,26
"730",730,0,3,"female",25,7.925
"732",732,0,3,"male",11,18.7875
"734",734,0,2,"male",23,13
"735",735,0,2,"male",23,13
"736",736,0,3,"male",28.5,16.1
"737",737,0,3,"female",48,34.375
"738",738,1,1,"male",35,512.3292
"742",742,0,1,"male",36,78.85
"743",743,1,1,"female",21,262.375
"744",744,0,3,"male",24,16.1
"745",745,1,3,"male",31,7.925
"746",746,0,1,"male",70,71
"747",747,0,3,"male",16,20.25
"748",748,1,2,"female",30,13
"750",750,0,3,"male",31,7.75
"751",751,1,2,"female",4,23
"753",753,0,3,"male",33,9.5
"754",754,0,3,"male",23,7.8958
"755",755,1,2,"female",48,65
"756",756,1,2,"male",0.67,14.5
"757",757,0,3,"male",28,7.7958
"758",758,0,2,"male",18,11.5
"760",760,1,1,"female",33,86.5
"762",762,0,3,"male",41,7.125
"763",763,1,3,"male",20,7.2292
"764",764,1,1,"female",36,120
"765",765,0,3,"male",16,7.775
"766",766,1,1,"female",51,77.9583
"768",768,0,3,"female",30.5,7.75
"770",770,0,3,"male",32,8.3625
"773",773,0,2,"female",57,10.5
"776",776,0,3,"male",18,7.75
"778",778,1,3,"female",5,12.475
"780",780,1,1,"female",43,211.3375
"781",781,1,3,"female",13,7.2292
"782",782,1,1,"female",17,57
"783",783,0,1,"male",29,30
"786",786,0,3,"male",25,7.25
"787",787,1,3,"female",18,7.4958
"789",789,1,3,"male",1,20.575
"790",790,0,1,"male",46,79.2
"792",792,0,2,"male",16,26
"795",795,0,3,"male",25,7.8958
"796",796,0,2,"male",39,13
"799",799,0,3,"male",30,7.2292
"800",800,0,3,"female",30,24.15
"801",801,0,2,"male",34,13
"802",802,1,2,"female",31,26.25
"803",803,1,1,"male",11,120
"805",805,1,3,"male",27,6.975
"806",806,0,3,"male",31,7.775
"809",809,0,2,"male",39,13
"810",810,1,1,"female",33,53.1
"811",811,0,3,"male",26,7.8875
"812",812,0,3,"male",39,24.15
"814",814,0,3,"female",6,31.275
"815",815,0,3,"male",30.5,8.05
"817",817,0,3,"female",23,7.925
"818",818,0,2,"male",31,37.0042
"819",819,0,3,"male",43,6.45
"820",820,0,3,"male",10,27.9
"822",822,1,3,"male",27,8.6625
"823",823,0,1,"male",38,0
"824",824,1,3,"female",27,12.475
"825",825,0,3,"male",2,39.6875
"828",828,1,2,"male",1,37.0042
"832",832,1,2,"male",0.83,18.75
"834",834,0,3,"male",23,7.8542
"836",836,1,1,"female",39,83.1583
"837",837,0,3,"male",21,8.6625
"842",842,0,2,"male",16,10.5
"843",843,1,1,"female",30,31
"845",845,0,3,"male",17,8.6625
"848",848,0,3,"male",35,7.8958
"849",849,0,2,"male",28,33
"851",851,0,3,"male",4,31.275
"852",852,0,3,"male",74,7.775
"853",853,0,3,"female",9,15.2458
"854",854,1,1,"female",16,39.4
"855",855,0,2,"female",44,26
"856",856,1,3,"female",18,9.35
"858",858,1,1,"male",51,26.55
"859",859,1,3,"female",24,19.2583
"863",863,1,1,"female",48,25.9292
"865",865,0,2,"male",24,13
"866",866,1,2,"female",42,13
"867",867,1,2,"female",27,13.8583
"868",868,0,1,"male",31,50.4958
"871",871,0,3,"male",26,7.8958
"872",872,1,1,"female",47,52.5542
"873",873,0,1,"male",33,5
"874",874,0,3,"male",47,9
"876",876,1,3,"female",15,7.225
"877",877,0,3,"male",20,9.8458
"878",878,0,3,"male",19,7.8958
"880",880,1,1,"female",56,83.1583
"881",881,1,2,"female",25,26
"883",883,0,3,"female",22,10.5167
"884",884,0,2,"male",28,10.5
"886",886,0,3,"female",39,29.125
"887",887,0,2,"male",27,13
"888",888,1,1,"female",19,30
"890",890,1,1,"male",26,30
"891",891,0,3,"male",32,7.75
