,Survived,Pclass,Sex,Age,Fare
2,1,1,0,38,71.2833
3,1,3,0,26,7.925
4,1,1,0,35,53.1
5,0,3,1,35,8.05
8,0,3,1,2,21.075
9,1,3,0,27,11.1333
10,1,2,0,14,30.0708
11,1,3,0,4,16.7
12,1,1,0,58,26.55
13,0,3,1,20,8.05
14,0,3,1,39,31.275
15,0,3,0,14,7.8542
16,1,2,0,55,16
17,0,3,1,2,29.125
21,0,2,1,35,26
22,1,2,1,34,13
23,1,3,0,15,8.0292
24,1,1,1,28,35.5
25,0,3,0,8,21.075
26,1,3,0,38,31.3875
28,0,1,1,19,263
31,0,1,1,40,27.7208
34,0,2,1,66,10.5
35,0,1,1,28,82.1708
36,0,1,1,42,52
38,0,3,1,21,8.05
41,0,3,0,40,9.475
44,1,2,0,3,41.5792
45,1,3,0,19,7.8792
50,0,3,0,18,17.8
52,0,3,1,21,7.8
53,1,1,0,49,76.7292
54,1,2,0,29,26
55,0,1,1,65,61.9792
57,1,2,0,21,10.5
58,0,3,1,28.5,7.2292
60,0,3,1,11,46.9
61,0,3,1,22,7.2292
62,1,1,0,38,80
63,0,1,1,45,83.475
64,0,3,1,4,27.9
67,1,2,0,29,10.5
68,0,3,1,19,8.1583
69,1,3,0,17,7.925
70,0,3,1,26,8.6625
72,0,3,0,16,46.9
73,0,2,1,21,73.5
74,0,3,1,26,14.4542
76,0,3,1,25,7.65
79,1,2,1,0.83,29
80,1,3,0,30,12.475
84,0,1,1,28,47.1
86,1,3,0,33,15.85
87,0,3,1,16,34.375
89,1,1,0,23,263
90,0,3,1,24,8.05
91,0,3,1,29,8.05
93,0,1,1,46,61.175
95,0,3,1,59,7.25
97,0,1,1,71,34.6542
98,1,1,1,23,63.3583
99,1,2,0,34,23
100,0,2,1,34,26
103,0,1,1,21,77.2875
106,0,3,1,28,7.8958
109,0,3,1,38,7.8958
112,0,3,0,14.5,14.4542
113,0,3,1,22,8.05
115,0,3,0,17,14.4583
117,0,3,1,70.5,7.75
119,0,1,1,24,247.5208
120,0,3,0,2,31.275
121,0,2,1,21,73.5
124,1,2,0,32.5,13
125,0,1,1,54,77.2875
130,0,3,1,45,6.975
132,0,3,1,20,7.05
134,1,2,0,29,26
135,0,2,1,25,13
136,0,2,1,23,15.0458
137,1,1,0,19,26.2833
139,0,3,1,16,9.2167
140,0,1,1,24,79.2
142,1,3,0,22,7.75
143,1,3,0,24,15.85
144,0,3,1,19,6.75
145,0,2,1,18,11.5
147,1,3,1,27,7.7958
148,0,3,0,9,34.375
149,0,2,1,36.5,26
151,0,2,1,51,12.525
152,1,1,0,22,66.6
153,0,3,1,55.5,8.05
154,0,3,1,40.5,14.5
156,0,1,1,51,61.3792
157,1,3,0,16,7.7333
158,0,3,1,30,8.05
161,0,3,1,44,16.1
163,0,3,1,26,7.775
165,0,3,1,1,39.6875
166,1,3,1,9,20.525
168,0,3,0,45,27.9
172,0,3,1,4,29.125
176,0,3,1,18,7.8542
178,0,1,0,50,28.7125
183,0,3,1,9,31.3875
185,1,3,0,4,22.025
188,1,1,1,45,26.55
189,0,3,1,40,15.5
190,0,3,1,36,7.8958
191,1,2,0,32,13
192,0,2,1,19,13
193,1,3,0,19,7.8542
198,0,3,1,42,8.4042
200,0,2,0,24,13
201,0,3,1,28,9.5
203,0,3,1,34,6.4958
204,0,3,1,45.5,7.225
205,1,3,1,18,8.05
206,0,3,0,2,10.4625
207,0,3,1,32,15.85
208,1,3,1,26,18.7875
210,1,1,1,40,31
212,1,2,0,35,21
213,0,3,1,22,7.25
216,1,1,0,31,113.275
217,1,3,0,27,7.925
218,0,2,1,42,27
219,1,1,0,32,76.2917
220,0,2,1,30,10.5
223,0,3,1,51,8.05
225,1,1,1,38,90
228,0,3,1,20.5,7.25
229,0,2,1,18,13
231,1,1,0,35,83.475
232,0,3,1,29,7.775
233,0,2,1,59,13.5
234,1,3,0,5,31.3875
237,0,2,1,44,26
238,1,2,0,8,26.25
239,0,2,1,19,10.5
240,0,2,1,33,12.275
243,0,2,1,29,10.5
245,0,3,1,30,7.225
246,0,1,1,44,90
248,1,2,0,24,14.5
250,0,2,1,54,26
252,0,3,0,29,10.4625
253,0,1,1,62,26.55
258,1,1,0,30,86.5
259,1,1,0,35,512.3292
260,1,2,0,50,26
263,0,1,1,52,79.65
264,0,1,1,40,0
267,0,3,1,16,39.6875
269,1,1,0,58,153.4625
273,1,2,0,41,19.5
274,0,1,1,37,29.7
276,1,1,0,63,77.9583
277,0,3,0,45,7.75
280,1,3,0,35,20.25
282,0,3,1,28,7.8542
283,0,3,1,16,9.5
286,0,3,1,33,8.6625
287,1,3,1,30,9.5
288,0,3,1,22,7.8958
289,1,2,1,42,13
290,1,3,0,22,7.75
292,1,1,0,19,91.0792
293,0,2,1,36,12.875
294,0,3,0,24,8.85
295,0,3,1,24,7.8958
297,0,3,1,23.5,7.2292
300,1,1,0,50,247.5208
306,1,1,1,0.92,151.55
308,1,1,0,17,108.9
310,1,1,0,30,56.9292
313,0,2,0,26,26
315,0,2,1,43,26.25
317,1,2,0,24,26
319,1,1,0,31,164.8667
320,1,1,0,40,134.5
321,0,3,1,22,7.25
322,0,3,1,27,7.8958
323,1,2,0,30,12.35
324,1,2,0,22,29
326,1,1,0,36,135.6333
327,0,3,1,61,6.2375
329,1,3,0,31,20.525
330,1,1,0,16,57.9792
332,0,1,1,45.5,28.5
333,0,1,1,38,153.4625
334,0,3,1,16,18
337,0,1,1,29,66.6
338,1,1,0,41,134.5
339,1,3,1,45,8.05
340,0,1,1,45,35.5
342,1,1,0,24,263
343,0,2,1,28,13
344,0,2,1,25,13
345,0,2,1,36,13
347,1,2,0,40,13
350,0,3,1,42,8.6625
351,0,3,1,23,9.225
356,0,3,1,28,9.5
357,1,1,0,22,55
361,0,3,1,40,27.9
362,0,2,1,29,27.7208
363,0,3,0,45,14.4542
372,0,3,1,18,6.4958
374,0,1,1,22,135.6333
377,1,3,0,22,7.25
378,0,1,1,27,211.5
380,0,3,1,19,7.775
382,1,3,0,1,15.7417
383,0,3,1,32,7.925
384,1,1,0,35,52
386,0,2,1,18,73.5
387,0,3,1,1,46.9
391,1,1,1,36,120
392,1,3,1,21,7.7958
395,1,3,0,24,16.7
396,0,3,1,22,7.7958
399,0,2,1,23,10.5
401,1,3,1,39,7.925
404,0,3,1,28,15.85
405,0,3,0,20,8.6625
406,0,2,1,34,21
408,1,2,1,3,18.75
409,0,3,1,21,7.775
413,1,1,0,33,90
415,1,3,1,44,7.925
418,1,2,0,18,13
419,0,2,1,30,13
420,0,3,0,10,24.15
422,0,3,1,21,7.7333
423,0,3,1,29,7.875
424,0,3,0,28,14.4
427,1,2,0,28,26
430,1,3,1,32,8.05
431,1,1,1,28,26.55
433,1,2,0,42,26
434,0,3,1,17,7.125
435,0,1,1,50,55.9
437,0,3,0,21,34.375
438,1,2,0,24,18.75
439,0,1,1,64,263
440,0,2,1,31,10.5
441,1,2,0,45,26.25
442,0,3,1,20,9.5
443,0,3,1,25,7.775
444,1,2,0,28,13
446,1,1,1,4,81.8583
448,1,1,1,34,26.55
451,0,2,1,36,27.75
453,0,1,1,30,27.75
454,1,1,1,49,89.1042
456,1,3,1,29,7.8958
457,0,1,1,65,26.55
459,1,2,0,50,10.5
464,0,2,1,48,13
466,0,3,1,38,7.05
472,0,3,1,38,8.6625
474,1,2,0,23,13.7917
475,0,3,0,22,9.8375
477,0,2,1,34,21
478,0,3,1,29,7.0458
479,0,3,1,22,7.5208
481,0,3,1,9,46.9
484,1,3,0,63,9.5875
485,1,1,1,25,91.0792
487,1,1,0,35,90
488,0,1,1,58,29.7
493,0,1,1,55,30.5
494,0,1,1,71,49.5042
495,0,3,1,21,8.05
497,1,1,0,54,78.2667
499,0,1,0,25,151.55
500,0,3,1,24,7.7958
501,0,3,1,17,8.6625
502,0,3,0,21,7.75
504,0,3,0,37,9.5875
506,0,1,1,18,108.9
515,0,3,1,24,7.4958
516,0,1,1,47,34.0208
517,1,2,0,34,10.5
519,1,2,0,36,26
521,1,1,0,30,93.5
522,0,3,1,22,7.8958
524,1,1,0,44,57.9792
526,0,3,1,40.5,7.75
527,1,2,0,50,10.5
529,0,3,1,39,7.925
530,0,2,1,23,11.5
531,1,2,0,2,26
535,0,3,0,30,8.6625
536,1,2,0,7,26.25
537,0,1,1,45,26.55
538,1,1,0,30,106.425
540,1,1,0,22,49.5
542,0,3,0,9,31.275
543,0,3,0,11,31.275
544,1,2,1,32,26
546,0,1,1,64,26
549,0,3,1,33,20.525
550,1,2,1,8,36.75
551,1,1,1,17,110.8833
552,0,2,1,27,26
554,1,3,1,22,7.225
555,1,3,0,22,7.775
556,0,1,1,62,26.55
557,1,1,0,48,39.6
560,1,3,0,36,17.4
562,0,3,1,40,7.8958
563,0,2,1,28,13.5
566,0,3,1,24,24.15
568,0,3,0,29,21.075
570,1,3,1,32,7.8542
571,1,2,1,62,10.5
575,0,3,1,16,8.05
577,1,2,0,34,13
578,1,1,0,39,55.9
580,1,3,1,32,7.925
581,1,2,0,25,30
582,1,1,0,39,110.8833
583,0,2,1,54,26
584,0,1,1,36,40.125
586,1,1,0,18,79.65
587,0,2,1,47,15
588,1,1,1,60,79.2
589,0,3,1,22,8.05
591,0,3,1,35,7.125
593,0,3,1,47,7.25
595,0,2,1,37,26
598,0,3,1,49,0
601,1,2,0,24,27
605,1,1,1,35,26.55
607,0,3,1,30,7.8958
608,1,1,1,27,30.5
610,1,1,0,40,153.4625
611,0,3,0,39,31.275
616,1,2,0,24,65
618,0,3,0,26,16.1
621,0,3,1,27,14.4542
622,1,1,1,42,52.5542
623,1,3,1,20,15.7417
624,0,3,1,21,7.8542
625,0,3,1,21,16.1
627,0,2,1,57,12.35
628,1,1,0,21,77.9583
631,1,1,1,80,30
632,0,3,1,51,7.0542
633,1,1,1,32,30.5
635,0,3,0,9,27.9
636,1,2,0,28,13
637,0,3,1,32,7.925
638,0,2,1,31,26.25
639,0,3,0,41,39.6875
641,0,3,1,20,7.8542
642,1,1,0,24,69.3
643,0,3,0,2,27.9
645,1,3,0,0.75,19.2583
646,1,1,1,48,76.7292
647,0,3,1,19,7.8958
648,1,1,1,56,35.5
653,0,3,1,21,8.4333
655,0,3,0,18,6.75
656,0,2,1,24,73.5
658,0,3,0,32,15.5
660,0,1,1,58,113.275
661,1,1,1,50,133.65
662,0,3,1,40,7.225
663,0,1,1,47,25.5875
666,0,2,1,32,73.5
667,0,2,1,25,13
672,0,1,1,31,52
673,0,2,1,70,10.5
674,1,2,1,31,13
676,0,3,1,18,7.775
677,0,3,1,24.5,8.05
678,1,3,0,18,9.8417
679,0,3,0,43,46.9
680,1,1,1,36,512.3292
682,1,1,1,27,76.7292
683,0,3,1,20,9.225
684,0,3,1,14,46.9
687,0,3,1,14,39.6875
688,0,3,1,19,10.1708
689,0,3,1,18,7.7958
690,1,1,0,15,211.3375
691,1,1,1,31,57
692,1,3,0,4,13.4167
694,0,3,1,25,7.225
695,0,1,1,60,26.55
696,0,2,1,52,13.5
699,0,1,1,49,110.8833
703,0,3,0,18,14.4542
704,0,3,1,25,7.7417
706,0,2,1,39,26
709,1,1,0,22,151.55
714,0,3,1,29,9.4833
715,0,2,1,52,13
716,0,3,1,19,7.65
720,0,3,1,33,7.775
721,1,2,0,6,33
722,0,3,1,17,7.0542
723,0,2,1,34,13
724,0,2,1,50,13
725,1,1,1,27,53.1
726,0,3,1,20,8.6625
727,1,2,0,30,21
730,0,3,0,25,7.925
731,1,1,0,29,211.3375
732,0,3,1,11,18.7875
736,0,3,1,28.5,16.1
737,0,3,0,48,34.375
742,0,1,1,36,78.85
743,1,1,0,21,262.375
744,0,3,1,24,16.1
745,1,3,1,31,7.925
746,0,1,1,70,71
747,0,3,1,16,20.25
748,1,2,0,30,13
749,0,1,1,19,53.1
751,1,2,0,4,23
752,1,3,1,6,12.475
753,0,3,1,33,9.5
755,1,2,0,48,65
756,1,2,1,0.67,14.5
758,0,2,1,18,11.5
759,0,3,1,34,8.05
760,1,1,0,33,86.5
762,0,3,1,41,7.125
763,1,3,1,20,7.2292
764,1,1,0,36,120
765,0,3,1,16,7.775
766,1,1,0,51,77.9583
768,0,3,0,30.5,7.75
770,0,3,1,32,8.3625
771,0,3,1,24,9.5
772,0,3,1,48,7.8542
778,1,3,0,5,12.475
780,1,1,0,43,211.3375
781,1,3,0,13,7.2292
782,1,1,0,17,57
783,0,1,1,29,30
785,0,3,1,25,7.05
787,1,3,0,18,7.4958
790,0,1,1,46,79.2
795,0,3,1,25,7.8958
796,0,2,1,39,13
797,1,1,0,49,25.9292
798,1,3,0,31,8.6833
799,0,3,1,30,7.2292
800,0,3,0,30,24.15
803,1,1,1,11,120
804,1,3,1,0.42,8.5167
805,1,3,1,27,6.975
806,0,3,1,31,7.775
807,0,1,1,39,0
808,0,3,0,18,7.775
809,0,2,1,39,13
810,1,1,0,33,53.1
811,0,3,1,26,7.8875
812,0,3,1,39,24.15
813,0,2,1,35,10.5
815,0,3,1,30.5,8.05
817,0,3,0,23,7.925
818,0,2,1,31,37.0042
819,0,3,1,43,6.45
820,0,3,1,10,27.9
821,1,1,0,52,93.5
824,1,3,0,27,12.475
825,0,3,1,2,39.6875
828,1,2,1,1,37.0042
830,1,1,0,62,80
832,1,2,1,0.83,18.75
834,0,3,1,23,7.8542
835,0,3,1,18,8.3
837,0,3,1,21,8.6625
839,1,3,1,32,56.4958
845,0,3,1,17,8.6625
846,0,3,1,42,7.55
848,0,3,1,35,7.8958
851,0,3,1,4,31.275
852,0,3,1,74,7.775
854,1,1,0,16,39.4
855,0,2,0,44,26
856,1,3,0,18,9.35
857,1,1,0,45,164.8667
859,1,3,0,24,19.2583
862,0,2,1,21,11.5
863,1,1,0,48,25.9292
865,0,2,1,24,13
866,1,2,0,42,13
868,0,1,1,31,50.4958
870,1,3,1,4,11.1333
871,0,3,1,26,7.8958
872,1,1,0,47,52.5542
873,0,1,1,33,5
874,0,3,1,47,9
875,1,2,0,28,24
876,1,3,0,15,7.225
878,0,3,1,19,7.8958
880,1,1,0,56,83.1583
881,1,2,0,25,26
882,0,3,1,33,7.8958
883,0,3,0,22,10.5167
884,0,2,1,28,10.5
885,0,3,1,25,7.05
886,0,3,0,39,29.125
887,0,2,1,27,13
890,1,1,1,26,30
891,0,3,1,32,7.75
